Camino:
---------------
TTL	         IP         	        Pais        	     RTT Minimo     	    RTT Promedio    	 RTT Filtrado Prom  	    RTT Mediana     
 1	192.168.0.1         	       Local        	      47.591 ms     	      68.259 ms     	       63.66 ms     	      63.756 ms     
 2	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
 3	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
 4	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
 5	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
 6	200.89.164.129      	     Argentina      	       51.93 ms     	      74.703 ms     	      69.777 ms     	      71.694 ms     
 7	200.89.165.130      	     Argentina      	      51.726 ms     	      75.452 ms     	      69.322 ms     	      71.736 ms     
 8	200.89.165.222      	     Argentina      	      55.667 ms     	      77.577 ms     	      69.796 ms     	      71.769 ms     
 9	195.22.220.172      	       Italy        	      51.496 ms     	      75.858 ms     	       66.17 ms     	      67.746 ms     
10	89.221.41.161       	       Italy        	     179.725 ms     	     200.695 ms     	     197.541 ms     	     199.413 ms     
11	89.221.41.161       	       Italy        	     179.797 ms     	     200.697 ms     	      195.86 ms     	     195.791 ms     
12	154.54.9.17         	   United States    	     183.763 ms     	     220.079 ms     	     209.585 ms     	     211.711 ms     
13	154.54.24.233       	   United States    	     183.447 ms     	     209.999 ms     	     201.588 ms     	     203.714 ms     
14	154.54.24.197       	   United States    	     203.934 ms     	     236.151 ms     	     228.412 ms     	     228.079 ms     
15	154.54.24.221       	   United States    	     207.869 ms     	     252.473 ms     	       225.9 ms     	     232.022 ms     
16	154.54.40.109       	   United States    	      211.91 ms     	     244.004 ms     	     231.854 ms     	     235.633 ms     
17	154.54.42.86        	   United States    	       267.4 ms     	     302.129 ms     	     288.052 ms     	     291.687 ms     
18	154.54.58.186       	   United States    	     275.805 ms     	     304.491 ms     	     289.808 ms     	     291.897 ms     
19	154.54.56.238       	   United States    	     271.599 ms     	      307.73 ms     	     289.593 ms     	     292.053 ms     
20	149.14.80.210       	   United States    	     268.003 ms     	     304.078 ms     	     289.823 ms     	     291.946 ms     
21	196.32.209.174      	    South Africa    	      447.66 ms     	     486.826 ms     	      469.31 ms     	     475.745 ms     
22	155.232.6.65        	    South Africa    	     447.838 ms     	     490.029 ms     	     471.961 ms     	      475.96 ms     
23	155.232.6.37        	    South Africa    	     447.779 ms     	     486.013 ms     	     469.022 ms     	     471.879 ms     
24	155.232.6.33        	    South Africa    	     451.922 ms     	     492.922 ms     	     472.859 ms     	     479.727 ms     
25	155.232.6.142       	    South Africa    	     455.554 ms     	     514.681 ms     	     475.578 ms     	     491.711 ms     
26	155.232.6.145       	    South Africa    	     468.018 ms     	     527.887 ms     	     493.943 ms     	     499.878 ms     
27	155.232.6.138       	    South Africa    	     455.644 ms     	     503.243 ms     	     473.392 ms     	     479.944 ms     
28	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
29	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
30	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
