Camino:
---------------
TTL	         IP         	        Pais        	     RTT Minimo     	    RTT Promedio    	 RTT Filtrado Prom  	    RTT Mediana     
 1	192.168.0.1         	       Local        	      47.649 ms     	      76.847 ms     	       62.26 ms     	      67.696 ms     
 2	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
 3	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
 4	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
 5	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
 6	200.89.164.129      	     Argentina      	      59.781 ms     	     105.061 ms     	      80.867 ms     	      84.792 ms     
 7	200.89.165.5        	     Argentina      	        59.7 ms     	     117.199 ms     	      85.396 ms     	      92.006 ms     
 8	200.89.165.250      	     Argentina      	       59.88 ms     	      109.16 ms     	      81.414 ms     	      87.752 ms     
 9	185.70.203.56       	       Italy        	      55.718 ms     	     105.532 ms     	      88.681 ms     	      91.783 ms     
10	195.22.219.3        	       Italy        	      79.973 ms     	     126.341 ms     	      105.86 ms     	     108.011 ms     
11	195.22.219.3        	       Italy        	      78.694 ms     	     117.217 ms     	     100.989 ms     	     103.735 ms     
12	149.3.181.65        	       Italy        	     187.798 ms     	      239.79 ms     	     217.664 ms     	     221.973 ms     
13	129.250.2.227       	   United States    	     239.814 ms     	     315.281 ms     	     261.183 ms     	     264.084 ms     
14	129.250.4.13        	   United States    	     287.737 ms     	     323.527 ms     	     310.539 ms     	     315.772 ms     
15	129.250.2.54        	   United States    	     287.683 ms     	     338.692 ms     	     307.844 ms     	     315.856 ms     
16	129.250.3.86        	   United States    	     387.637 ms     	     436.113 ms     	     418.358 ms     	      419.94 ms     
17	129.250.6.188       	   United States    	     383.897 ms     	     455.026 ms     	     416.043 ms     	     427.777 ms     
18	129.250.2.255       	   United States    	     387.719 ms     	      433.65 ms     	     404.056 ms     	     411.757 ms     
19	61.200.80.218       	       Japan        	     387.871 ms     	     448.084 ms     	     409.514 ms     	     427.837 ms     
20	158.205.192.173     	       Japan        	      387.75 ms     	     457.722 ms     	     412.988 ms     	     431.917 ms     
21	158.205.192.86      	       Japan        	     415.888 ms     	      498.25 ms     	     438.572 ms     	     455.651 ms     
22	158.205.121.250     	       Japan        	     419.735 ms     	      424.37 ms     	      424.37 ms     	      421.52 ms     
23	154.34.240.254      	       Japan        	     395.637 ms     	     436.535 ms     	     415.033 ms     	     419.973 ms     
24	210.152.135.178     	       Japan        	     383.839 ms     	     436.835 ms     	     416.837 ms     	     423.914 ms     
